Absolute Frequency,Frequency change,Thickness[nm],Timestamp
0.0,-6000000.0,-600000.0,2024-12-23 00:00:21.854712
0.0,-6000000.0,-600000.0,2024-12-23 00:00:21.973371
0.0,-6000000.0,-600000.0,2024-12-23 00:00:22.070708
0.0,-6000000.0,-600000.0,2024-12-23 00:00:22.185311
0.0,-6000000.0,-600000.0,2024-12-23 00:00:22.291413
0.0,-6000000.0,-600000.0,2024-12-23 00:00:22.400163
0.0,-6000000.0,-600000.0,2024-12-23 00:00:22.510944
0.0,-6000000.0,-600000.0,2024-12-23 00:00:22.619116
0.0,-6000000.0,-600000.0,2024-12-23 00:00:22.731838
0.0,-6000000.0,-600000.0,2024-12-23 00:00:22.837654
0.0,-6000000.0,-600000.0,2024-12-23 00:00:23.056903
0.0,-6000000.0,-600000.0,2024-12-23 00:00:23.165224
