Absolute Frequency,Frequency change,Thickness[nm],Timestamp
4000165.0,165.0,3300.0,2022-10-03 09:24:26.683702
4000165.0,165.0,3300.0,2022-10-03 09:24:26.792814
4000165.0,165.0,3300.0,2022-10-03 09:24:26.903226
4000165.0,165.0,3300.0,2022-10-03 09:24:27.012333
4000165.0,165.0,3300.0,2022-10-03 09:24:27.120284
4000165.0,165.0,3300.0,2022-10-03 09:24:27.228150
4000165.0,165.0,3300.0,2022-10-03 09:24:27.337682
4000165.0,165.0,3300.0,2022-10-03 09:24:27.446382
4000165.0,165.0,3300.0,2022-10-03 09:24:27.558070
4000166.0,166.0,3320.0,2022-10-03 09:24:27.665077
4000166.0,166.0,3320.0,2022-10-03 09:24:27.776444
4000166.0,166.0,3320.0,2022-10-03 09:24:27.886120
4000166.0,166.0,3320.0,2022-10-03 09:24:27.995327
4000166.0,166.0,3320.0,2022-10-03 09:24:28.103714
4000166.0,166.0,3320.0,2022-10-03 09:24:28.212436
4000166.0,166.0,3320.0,2022-10-03 09:24:28.322465
4000166.0,166.0,3320.0,2022-10-03 09:24:28.430813
4000166.0,166.0,3320.0,2022-10-03 09:24:28.539673
4000163.0,163.0,3260.0,2022-10-03 09:24:28.652119
4000163.0,163.0,3260.0,2022-10-03 09:24:28.760783
4000163.0,163.0,3260.0,2022-10-03 09:24:28.868243
4000163.0,163.0,3260.0,2022-10-03 09:24:28.977293
4000163.0,163.0,3260.0,2022-10-03 09:24:29.087337
4000163.0,163.0,3260.0,2022-10-03 09:24:29.199421
4000163.0,163.0,3260.0,2022-10-03 09:24:29.305280
4000163.0,163.0,3260.0,2022-10-03 09:24:29.415195
4000163.0,163.0,3260.0,2022-10-03 09:24:29.526222
4000165.0,165.0,3300.0,2022-10-03 09:24:29.635133
4000165.0,165.0,3300.0,2022-10-03 09:24:29.743952
4000165.0,165.0,3300.0,2022-10-03 09:24:29.853498
4000165.0,165.0,3300.0,2022-10-03 09:24:29.965628
4000165.0,165.0,3300.0,2022-10-03 09:24:30.074557
4000165.0,165.0,3300.0,2022-10-03 09:24:30.181298
4000165.0,165.0,3300.0,2022-10-03 09:24:30.294472
